Company Name,Website,Company Description,Industry,Founder Name,Founder LinkedIn ,Founded,Team Size,Location,Socials
CTGT,https://www.ctgt.ai/,"CTGT is building the next evolution of AI, towards intelligence that is foundationally designed to be efficient and trustworthy. Our enterprise-grade platform prevents AI hallucinations and errors in real-time while maximizing ROI.","Artificial Intelligence, Deep Learning, SaaS, B2B, Enterprise","Cyril Gorlla, Trevor Tuttle","https://www.linkedin.com/in/cyrilgorlla/,https://linkedin.com/in/trevor-j-tuttle",2023,2,San Francisco,https://twitter.com/CTGTInc
Summed AI,https://summed.ai,"Summed AI is an AI assistant that digs up accurate Medicare policy details for you 90% faster, so you can enroll your clients quicker with fewer compliance dings.","insurance, ai, b2b","Tyler Rich, Kevin Bao, Sherril Wang","https://www.linkedin.com/in/tylerrich, https://www.linkedin.com/in/kevin-bao/, https://www.linkedin.com/in/sherrilwang",2024,3,"Seattle, WA",https://www.linkedin.com/company/summed-ai/
BeerMe,https://beerme.world/,"BeerMe is a digital wallet for USDC. It’s like Venmo or Cash App, but we use stablecoins to make sending money instant, global, and free.","crypto-web3, payments, consumer, messaging, social-media","Gray Newfield, Noah Newfield","https://www.linkedin.com/in/gray-newfield-447b9b111/, https://www.linkedin.com/in/noah-newfield-208a40129/",2024,2,New York,https://x.com/BeerMeWorld
Canvas,https://www.canvas.inc/,"Canvas is the AI-copilot for enterprise customer success teams. By automatically surfacing and addressing the most critical risks and growth opportunities, we transform CSMs from reactive support managers into proactive growth drivers.","saas, customer-success, analytics, enterprise, ai",Essam Sleiman,https://www.linkedin.com/in/essam-sleiman-4253b1128,2024,3,San Francisco,https://www.linkedin.com/company/canvasai/
Dexter,https://www.getdexter.co/,"AI workflow automation for field operations. Dexter is the AI workflow automation tool for field operations. With Dexter, customers reduce traffic fines, automate van management, and run asset recovery.","saas, b2b, workflow-automation, automation, operations","Bella Wu, Vincent Garrigues, Caterina Kiehntopf","https://linkedin.com/in/bellacwu, https://www.linkedin.com/in/garriguv/, https://www.linkedin.com/in/caterina-kiehntopf-58a6aa34/",2024,3,"Berlin, Germany",https://www.linkedin.com/company/getdexter
Chorrie,https://chorrie.com,Chorrie is a no-code platform that puts AI in the hands of medical billing teams to prevent denied and under-billed insurance claims. The platform empowers billing teams to turn their manual claim QA into automated correctness checks.,"healthcare, generative-ai, saas, b2b, billing","Christopher Schlaepfer, Jorrie Brettin","https://www.linkedin.com/in/cschlaep/, https://www.linkedin.com/in/jorrie-brettin-349a6383/",2024,2,New York,https://www.linkedin.com/company/chorrie
OpenClinic,https://www.openclinic.com,"OpenClinic is a platform that makes it easy for any doctor or hospital to open their own digital clinic. Our AI assistant takes a comprehensive medical history using an empathic voice-based interface, uses sophisticated medical reasoning to narrow down likely diagnoses, and produces evidence-based treatment suggestions for each patient.","health-tech, digital-health, healthcare","Riyan Moussaoui, Nabil Belahouane, Hassan Mirza, Usama Syed","https://www.linkedin.com/in/riyan-moussaoui-md-b435a914b/, https://www.linkedin.com/in/nabil-belahouane, https://www.linkedin.com/in/hassanmirzamd/, https://www.linkedin.com/in/usama-syed-419b0078/",2024,4,San Francisco,https://www.linkedin.com/in/usama-syed-419b0078/
Praxis AI,https://praxis-tech.ai,"Manufacturing reasoning agents to predict and prevent machine failures, building manufacturing specific agents capable of reasoning and processing complex situations. Our engineering copilot predicts and prevents machine failures in real time.","artificial-intelligence, iot, manufacturing, data-science, ai-assistant","Aditya Tewari, Ransika Liyanage","https://www.linkedin.com/in/adityatewari/, https://www.linkedin.com/in/ransika-liyanage-2415b9a5/",2024,2,New York,https://praxis-tech.ai
Lune AI,https://www.lune.dev/,A replacement to standard LLMs for coding tasks - eliminate hallucinations with a marketplace of expert LLMs trained on hundreds of technical topics.,"developer-tools, ai, ai-assistant","Sam Park, Josh Park","https://www.linkedin.com/in/samuel-park04/, https://www.linkedin.com/in/josh-park-a26561279",2024,2,San Francisco,https://www.linkedin.com/company/lune-ai/
AutoComputer,https://www.autocomputer.ai/,AutoComputer is a desktop robotic process automation system that automates tedious tasks such as financial data entry by performing all the clicks and keystrokes.,"deep-learning, b2b, enterprise, automation, ai","Madhav Singhal, Rick Sugden","https://www.linkedin.com/in/ms337/, https://www.linkedin.com/in/rick-sugden-4a427b180/",2024,2,San Francisco,https://twitter.com/madhavsinghal_
Karmen,https://www.karmenai.com,"Karmen is an AI assistant for construction project managers, helping them save time by automating admin tasks like invoice approvals, RFI management, and change order tracking. It integrates with emails, project management software, and ERPs to automate administrative tasks.","machine-learning, construction, ai-assistant","Jonas Ebrahimi, Naman Wahi","https://linkedin.com/in/aabrbaskfna, https://linkedin.com/in/naman-wahi/",2024,2,San Francisco,https://www.karmenai.com
Aditto,https://aditto.co,Aditto lets you launch and manage AI generated ads and landing pages at scale. Founders and executives use Aditto to do the work of a whole search engine marketing team in minutes.,"artificial intelligence, marketing, advertising","Will Jack, Keller Maloney","https://www.linkedin.com/in/willjack, https://www.linkedin.com/in/keller-maloney-130856187/",2024,2,San Francisco,https://www.linkedin.com/company/104397499/
Coblocks,https://coblocks.ai,"Coblocks is a thoughtfully-designed data platform that helps teams write queries and automate workflows faster. We understand the columns, tables, and relationships in your data and use them to help anyone on your team build pipelines with AI, SQL and Python.","Artificial Intelligence, Analytics, Data Science, Big Data, Data Engineering","Kevin Schaich, Nisola Shobayo","https://www.linkedin.com/in/kevinschaich/, https://www.linkedin.com/in/nisola-shobayo-581552111/",2024,2,New York,https://www.linkedin.com/company/coblocks
Revyl,https://www.revyl.ai,Revyl is an observability platform that automatically catches and triages bugs before they reach production.,"artificial-intelligence, developer-tools, b2b, infrastructure","Landseer Enga, Anam Hira","https://linkedin.com/in/landseerenga, https://linkedin.com/in/anam-h-5b37a2125",2024,3,San Francisco,https://x.com/tryrevyl
Helpcare AI,https://helpcare.ai,"Helpcare builds AI Workers for healthcare orgs to take on coordination burden from staff and reduce time of care by autonomously identifying and outreaching patients (through phone, text, email, & mail) to schedule visits, book screenings, complete pre-post, and onboard. These agents require no integration, can navigate all tools, speak 29 languages, come with 50+ outreach scripts and have a remarkable 80% conversation-to-booking closing rate.","healthcare, ai","Huzaifa Sial, Ayush Tomar","https://www.linkedin.com/in/hsial/, https://www.linkedin.com/in/ayushtomar",2024,N/A,San Francisco,https://helpcare.ai
Bramble,https://usebramble.com,"Bramble is a video-first search platform for real estate, powered by AI. It helps agents auto-generate beautiful video listings and helps buyers search videos of homes for what they actually care about, like natural light or a big yard. We launched 2 months ago as a flat-rate real estate brokerage. We now have 6 accepted offers and have learned that lead generation is the biggest problem in real estate. By helping agents market their listings with videos and allowing buyers to find homes visually, we will disrupt property search sites like Zillow.","artificial-intelligence, real-estate, consumer, proptech, consumer-products","Nimesh Chakravarthi, Daniel Hsu, Deepan Mehta","https://linkedin.com/in/nimesh-chakravarthi-68238749, https://www.linkedin.com/in/dannyighsu, https://linkedin.com/in/deepanmehta",2024,3,San Francisco,https://linkedin.com/company/usebramble/
Relvy AI,https://www.relvy.ai,"Efficient AI for monitoring production software that does 24x7 monitoring of production software logs to both discover and debug issues, using custom LLMs that are 200x cheaper than frontier models.","developer-tools, saas, b2b, devops, ai","Bharath Bhat, Simranjit Singh","https://linkedin.com/in/bharathpbhat, https://linkedin.com/in/simranjit2112",2024,3,N/A,https://linkedin.com/in/bharathpbhat
Ember Copilot,https://www.embercopilot.ai,"The only medical scribe that reduces claim denials by 55%. Ember tackles inefficiency in clinical documentation and revenue cycle management, combining ambient listening technology with a deep understanding of medical billing requirements.",Healthcare / AI,"Charlene Wang, Warren Wang","https://linkedin.com/in/hsinleiwang, https://linkedin.com/in/warrenweinwang",2024,2,San Francisco,https://twitter.com/embercopilotAI
Friday,https://www.fridaymail.ai,"An assistant that understands your emails and handles them for you. Friday builds an assistant that learns how to predict the action that you will take on your emails and does it for you, completely eliminating the need to check those emails.","artificial-intelligence, productivity, email, ai-assistant","Allen Naliath, Advait Paliwal","https://www.linkedin.com/in/allennaliath/, https://linkedin.com/in/advaitpaliwal",2024,2,San Francisco,https://www.linkedin.com/company/fridaymail/
StudyDojo,https://studydojo.com,"StudyDojo is building the AI study platform students actually obsess over. We use AI to transform familiar study tools - question banks, study notes, mini-lessons - into personalized learning experiences that adapt to each student, tailored to their curriculum.","Education, AI","Bowen Liu, Janet Liu, Michael Tong","https://www.linkedin.com/in/bowen-liu/, https://linkedin.com/in/janetwkliu, https://linkedin.com/in/michaelytong",2023,5,N/A,N/A
ISSEN,https://issen.com,"ISSEN is an AI conversational language app that helps you become fluent. Your on-demand voice tutor is personal to you, adapting lessons and chats to your particular interests, learning style, and goals.","education, generative-ai, consumer, ai","Anton Apostolatos, Mariano Sorgente","https://www.linkedin.com/in/antonaf, https://www.linkedin.com/in/sorgente",2024,2,New York,https://www.linkedin.com/company/105774803/
Scrapybara,https://scrapybara.com,"Scrapybara provides virtual computer environments for AI agents. We deploy, scale, and maintain remote desktop instances that agents can interact with via an API.","Artificial Intelligence, Developer Tools, API, Infrastructure","Nalin Semwal, Justin Sun","https://www.linkedin.com/in/nsemwal, https://linkedin.com/in/justinsunyt",2024,2,San Francisco,https://twitter.com/scrapybara
Cekura,https://www.cekura.io,Cekura is an AI web agent that ensures SaaS product documentation stays up-to-date. We help knowledge and customer success teams save 100+ hours per week.,"artificial-intelligence, customer-success, customer-support, enterprise, automation","Jialiang (JZ) Zhou, Blake Shao","https://www.linkedin.com/in/jialiang-zhou, https://www.linkedin.com/in/blake-shao-46597b21b/",2024,2,N/A,https://twitter.com/jz2letters
Andoria,https://andoria.ai/,"Andoria is an AI web agent that generates in-app walkthroughs for software companies. The AI agent learns how your web application works, gathers data about your user (e.g. background & goal), and generates a custom walkthrough whenever a user needs help. When a user gets stuck, Andoria can step in, and show them exactly what to do by performing such actions. Andoria’s goal is to bring each user to 'activation' from day 1. The best part: setup is only pasting a script tag into your HTML & Andoria takes it from there.","artificial-intelligence, generative-ai, b2b, customer-support, ml","Daryl Budiman, Anirudh Ramprasad","https://www.linkedin.com/in/dbudiman/, https://www.linkedin.com/in/anirudh-ramprasad-7aa7b8215/",2024,2,San Francisco,https://www.linkedin.com/company/andoriaai/
Consus,https://www.consusindustries.co/,"Consus is your single source of truth for government specifications, standards, or handbooks. We verify the active revision of documents, notify you when documents are updated, and make it easy to extract the relevant information.",Government Technology,Eric Magliarditi,https://www.linkedin.com/in/ericmagliarditi/,2024,1,"San Francisco, CA, US / Los Angeles, CA, US / Remote (CA, US)",https://www.linkedin.com/company/consusindustries
Codebuff,https://codebuff.com,The CLI tool that writes code for you,"developer-tools, generative-ai, enterprise-software, ai","James Grugett, Brandon Chen","https://www.linkedin.com/in/james-grugett, https://www.linkedin.com/in/brandon-chen-37b95910a/",2024,2,San Francisco,https://x.com/codebuffai
Alex,https://alexcodes.app,"Alex is a sidebar app that works directly with Xcode, providing features like AI code generation and fast interaction to enhance the iOS development experience.",Software Development,Daniel Edrisian,https://www.linkedin.com/in/daniel-edrisian/,2024,1,"San Francisco, CA, US",https://alexcodes.app
Moonshine,https://usemoonshine.com,APIs for video understanding,"machine-learning, video, media","Ganesh Pimpale, Harsha Gundala","https://www.linkedin.com/in/ganesh-pimpale-864248155/, https://linkedin.com/in/harshagundala",2024,2,San Francisco,https://www.linkedin.com/company/usemoonshine
Riveter AI,https://www.riveterhq.com/,"Riveter is the copilot for corporate strategy. We help growth stage companies like Gusto accelerate strategic decision making, using deep market research and analysis. Riveter's analysis includes extraction and segmentation of data from 10-Ks, Investor Day decks, and other official sources.","Artificial Intelligence, B2B, Analytics, Market Research, AI","Abigail Grills, Erica Clark","https://www.linkedin.com/in/abigailgrills/, https://www.linkedin.com/in/clarkerican/",2024,2,San Francisco,https://www.linkedin.com/company/riveter-hq/
Tiny,https://andtiny.com,"A new kind of ERP system for factories where AI agents automate repetitive workflows, aimed to help factories relying on Excel.","saas, b2b, workflow-automation, manufacturing, enterprise-software","Louis de Valliere, Edward Zhang","https://www.linkedin.com/in/ldevalliere/, https://www.linkedin.com/in/edward-zhang-14685828/",2024,3,"Singapore, Singapore",https://www.linkedin.com/company/and-tiny
Bifrost Orbital,https://bifrostorbital.com/,"At Bifrost Orbital, we're building the future of satellite connectivity. Our mission is to eliminate communication blackouts and dead spots in orbit by providing an always-on, continuous connectivity service for satellites and other spacecraft in low Earth orbit. We're building an optical relay network of satellites to provide 24/7 uplink and downlink support to other satellites in orbit, with increased uptime and higher data rates for TT&C and more.","satellites, aerospace, telecommunications","Onkar Singh, Geffen Avraham","https://www.linkedin.com/in/ionkarbatra/, https://www.linkedin.com/in/geffen-avraham/",2024,2,San Francisco,https://x.com/bifrostorbital/
Vocera,https://www.vocera.ai/,"Vocera is a solution that automates the testing process for AI voice agents. It provides capabilities to prove reliability before going live, test updates seamlessly, and scale operations efficiently by replicating real-world conversations using workflows and personas.",AI Voice Agents,"Tarush Agarwal, Shashij Gupta, Sidhant Kabra","https://www.linkedin.com/in/tarush-agarwal-b14851160/,https://linkedin.com/in/shashij-gupta-671aa614a,https://www.linkedin.com/in/sidhantkabra",2024,3,N/A,https://x.com/VoceraAI
Asha Health,https://asha.health,"Asha Health enables medical practices to launch their own AI clinic, designed to fill crucial care gaps that their brick & mortar clinics are too overburdened to address — all while generating additional revenue on autopilot.","health-tech, healthcare, ai","Akkshay Khoslaa, Gokul Kumarresen","https://www.linkedin.com/in/akkshay/, https://www.linkedin.com/in/gokul-kumarresen/",2024,2,New York,https://www.linkedin.com/company/asha-health-ai/
Revi,https://www.revi.ai/,"Revi helps Investment Banks, PE firms, and Corporate Development teams source new deals using agentic workflows to replicate their end-to-end deal origination process, entirely removing the trade-off between precision and scalability.",AI-enabled M&A deal origination,"Max Nuyen, Benjamin McKinzey","https://www.linkedin.com/in/max-nuyen-460851129/, https://www.linkedin.com/in/benjamin-mckinzey-19952a25b/",2023,10,"New York, NY, US",https://www.linkedin.com/company/revi-ai
Circlemind,https://circlemind.co,Circlemind is an open-source RAG using knowledge graphs and PageRank.,"artificial-intelligence, deep-learning, developer-tools, generative-ai, saas","Antonio Vespoli, Luca Pinchetti, Yuhang Song","https://www.linkedin.com/in/antonio-vespoli-895727121/, https://www.linkedin.com/in/luca-pinchetti-414230222/, https://www.linkedin.com/in/yuhang-song/",2024,3,N/A,N/A
HYBRD,https://www.hybrd.app/,HYBRD is Strava for modern athletes who do more than just cardio. It brings all your training data together by integrating with top wearables and uses AI to make tracking weightlifting easy.,"consumer, fitness, social, digital-health, ai","Ben Katz, Matt Ruiters, Caroline ""Shoe"" Shoemaker, Mats Terwiesch","https://www.linkedin.com/in/benjaminlkatz/, https://www.linkedin.com/in/matthew-c-ruiters/, https://www.linkedin.com/in/shoe-shoemaker/, https://www.linkedin.com/in/mats-terwiesch/",2024,4,Boston,https://www.linkedin.com/company/hybrd-do-hard-things/
PermitPortal,https://permitportalapp.com/,"AI Operating System for Pre-construction. We are building workflows to help developers go from finding and closing development sites to getting a building permit faster. PermitPortal accelerates the most critical parts of the pre-construction phase: finding the right sites, understanding entitlements and navigating local development sentiment.","real-estate, construction, ai","Radu Mazilu, Alexandru Enache","https://www.linkedin.com/in/rgmazilu/, https://linkedin.com/in/alexandru-enache",2024,2,San Francisco,https://www.linkedin.com/company/permitportal/
Sandra AI,https://www.sandra-ai.com,"Building AI employees for car dealers, starting with AI receptionists.","automotive, ai-assistant","Badr El Idrissi Mokdad, Ismail Majjad, Skandere Sahli","https://www.linkedin.com/in/badr-el-idrissi-mokdad-a36336177/, https://linkedin.com/in/ismailmajjad, https://linkedin.com/in/skand%C3%A8re-sahli-8a152616b",2024,3,"Paris, France",https://www.linkedin.com/company/sandra-ai/
CollectWise,https://collectwise.com/,Automating consumer debt collection with AI,Fintech,"Sean OBrien, Vivek Isukapalli","https://linkedin.com/in/sean-o-brien-412b28175, https://linkedin.com/in/vivek-isukapalli-56597a28b",2024,2,N/A,N/A
ShowAndTell,https://www.tryshowandtell.com,"ShowAndTell creates AI agents for dental patient operations. Our agents educate patients, boost case acceptance, and build lasting trust. We enable dental staff to focus on patient care rather than patient operations.","generative-ai, health-tech, dental, ai","Daniel Bessonov, Justin Zhou","https://www.linkedin.com/in/dbessonov/, https://linkedin.com/in/2018jzhou",2024,2,San Francisco,https://www.tryshowandtell.com
Abundant,https://www.abundant.ai/,"Abundant powers reliable and safe AI deployment with real-time human expertise. Our network of specialized operators works alongside AI agents to handle complex edge cases, maintain rigorous safety standards, and generate high-quality training data that continuously improves AI performance.","AI, developer-tools, recruiting, collaboration, aiops","Jesse Hu, Meji Abidoye, Ke Huang","https://www.linkedin.com/in/jessehu, https://www.linkedin.com/in/meji-abidoye/, https://www.linkedin.com/in/kehuangsf",2024,3,San Francisco,https://www.linkedin.com/company/abundant-ai/
Innate,https://innate.bot,"Innate is developing innately intelligent teachable general-purpose robots. Our platforms are simple, accessible, so as to lower the barrier to entry into robotics for everyone.","generative-ai, hard-tech, robotics, consumer, ai-assistant","Axel Peytavin, Vignesh Anand","https://www.linkedin.com/in/axel-peytavin, https://www.linkedin.com/in/vignesh-anand-iitb/",2024,2,Palo Alto,https://x.com/innate_bot
Reticular,https://reticular.ai,"Interpretable AI for drug discovery, helping pharma companies discover drugs with AI models like AlphaFold by making them steerable and interpretable.","AI, Drug Discovery, Biotech, Therapeutics","Nithin Parsan, John Yang","https://linkedin.com/in/nithin-parsan, https://linkedin.com/in/johnyang101",2024,2,San Francisco,https://linkedin.com/company/reticular-yc-f24/
Autumn,https://useautumn.com,Autumn is an abstraction layer between your database and Stripe that lets you build any pricing plan and control feature entitlement.,"saas, b2b, billing","Ayush Rodrigues, John Yeo","https://www.linkedin.com/in/ayrod, https://www.linkedin.com/in/johnyeocx",2024,2,N/A,N/A
supercontrast,https://supercontrast.com/,AI Copilot which empowers anyone to create and refine high quality designs and assets.,"machine-learning, design, design-tools","Carter McClellan, Shravan Kumaran","https://www.linkedin.com/in/carter-mcclellan/, https://www.linkedin.com/in/shravan-kumaran-7b2b80123/",2024,2,San Francisco,https://www.linkedin.com/company/supercontrast/?viewAsMember=true
