Company Name,Website,Company Description,Industry,Founder Name,Founder LinkedIn ,Founded,Team Size,Location,Socials
Keet,https://trykeet.com,Keet provides authentication for AI agents. Developers use us to connect their customers' accounts and perform actions on their behalf.,"artificial-intelligence, developer-tools, b2b","Zack Ashen, Tommy Tsai","https://www.linkedin.com/in/zacharyashen/, https://www.linkedin.com/in/tommy-tsai-589062208/",2024,2,N/A,https://x.com/keetapi
Haystack Software,https://haystackeditor.com/,Visualize and edit your codebase on an infinite canvas,"developer-tools, b2b, productivity, ai","Jake Yatvitskiy, Akshay Subramaniam","https://www.linkedin.com/in/jake-yatvitskiy/, https://www.linkedin.com/in/akshay-s-152126139/",2024,2,San Francisco,https://www.linkedin.com/company/104745614/admin/dashboard/
RiskAngle,https://www.riskangle.com/,"RiskAngle delivers fast, accurate summaries of unstructured medical records for insurance companies and law firms. Our AI-powered platform enables users to streamline underwriting, expedite claims processing, and prepare cases with confidence.","artificial-intelligence, saas, b2b, legal, insurance",William Hu,https://www.linkedin.com/in/william-hu/,2024,2,San Francisco,https://www.linkedin.com/company/riskangle
Taxo,https://taxo.ai,"Taxo integrates with electronic health records (EHRs) to automate medical billing and coding. Its AI-powered solution reduces the time and cost of claims processing by >90%, enabling providers to focus on patient care rather than administrative tasks.","Healthcare, AI","Ahmed Kerwan, Hassan Tahir","https://www.linkedin.com/in/ahmedkerwan/, https://www.linkedin.com/in/hassan--tahir/",2024,8,San Francisco,https://twitter.com/HassanTahir__
RetroFix AI,https://www.retrofix.ai/,"RetroFix is a web platform that allows contractors to automatically apply for tax incentives and sustainability credits. Currently, contractors rarely apply for credits because discovering incentives, checking eligibility, and applying are all done manually via emails and phone calls with local utilities and/or government offices. RetroFix consolidates information on government incentives and allows building managers/contractors to apply in minutes, saving hundreds of thousands of dollars per building.","artificial intelligence, saas, proptech, climate","Isaac Toscano, Daniel Portela","https://www.linkedin.com/in/isaac-t-1a51ab13a/, https://www.linkedin.com/in/daniel-portela-febo/",2024,2,San Francisco,https://www.linkedin.com/company/retrofix-ai/
Bayesline,https://bayesline.com,"Highly customizable and blazingly fast analytics for asset managers. Bayesline is building a GPU-powered financial analytics suite for institutional investors, like hedge funds. Clients use our cloud deployed solution to build custom analytics in seconds, having previously been frustrated with off the shelf solutions that don't generate any alpha. What used to take weeks or months now happens near instantly.","fintech, finance, b2b, analytics, ai","Sebastian Janisch, Misha van Beek","https://www.linkedin.com/in/sebastianjanisch/, https://www.linkedin.com/in/mishavanbeek/",2024,2,New York,https://www.linkedin.com/company/bayesline
Abel Police,http://abelpolice.com,"Abel takes police body camera footage and turns it into completed police reports. Currently American patrol officers spend one third of their shift writing reports - turning that to zero would increase the effective police force by 50%, radically changing US cities.",Police Technology,Daniel Francis,https://www.linkedin.com/in/daniel-francis/,2024,5,N/A,N/A
Kairo Health,https://trykairo.com/,"Kairo Health builds AI agents that help deliver patient care at a fraction of the cost. They address the shortage of nurses, care coordinators, and administrators by automating care delivery workflows through AI technology.","digital-health, healthcare-it, ai","Jake Goldman, Ajay Vasisht","https://www.linkedin.com/in/jakeyg/, https://www.linkedin.com/in/ajayvasisht",2024,2,New York,https://twitter.com/JakeyG913
Oway,https://www.shipoway.com,"Oway is a rideshare freight platform that uses machine learning to automatically coordinate and sell unused space in trucks to SMBs at a 50% discount for lightning-fast shipping. Every year, nearly 50% all truck space goes unused annually in the almost $1T US trucking industry. On the other hand, SMBs represent 44% of the US GDP and are historically forced to deal with high freight rates and friction due to their small size compared to enterprise businesses.","machine-learning, marketplace, b2b, ridesharing, logistics",Phillip Nadjafov,https://www.linkedin.com/in/phillipnadjafov/,2023,12,San Francisco,https://www.linkedin.com/company/oway/
Zeit AI,https://zeit-ai.com/,Zeit AI transforms Excel files into a structured database that can be queried using natural language.,AI / Enterprise Software,"Leopold von Waldthausen, Marvin Christopher Bornstein","https://www.linkedin.com/in/v-waldthausen/, https://www.linkedin.com/in/mcbornstein/",2024,3,"Munich, BY, DE / London, England, GB / Remote",https://www.linkedin.com/company/103332732/
Fuse,http://www.fuseinsight.com,"AI-powered analysis of healthcare contracts and payments to help providers detect underpayments, compare their negotiated rates, and identify opportunities to boost revenue from insurers.",healthcare,"Sho Sugihara, Oscar Wilsby","https://linkedin.com/in/shoalexander, https://linkedin.com/in/oscar-wilsby-71020931",2024,2,"London, United Kingdom",https://www.linkedin.com/company/fuseinsight/
Theseus,https://theseus.us,"We're building a Micro Visual Positioning System (VPS) that can be retrofit onto any drone that simulates a GPS. Our VPS uses cameras and an accelerometer/gyroscope as well as reference satellite imagery for positioning. The system is entirely self contained, can't be jammed and has no RF signature.",Aerospace/Defense,"Carl Schoeller, Ian Laffey, Sacha Levy","https://www.linkedin.com/in/carlscho, https://linkedin.com/in/ian-laffey-943200247, https://linkedin.com/in/sacha-levy",2024,3,"San Francisco, CA, US",https://www.linkedin.com/company/theseustech/
Clearly AI,https://clearly-ai.com,"Clearly AI automates security and privacy reviews with AI. We performed hundreds of reviews at Amazon and Moveworks and now we're building the product we wish we had. We launched in August 2024 and secured two paid pilots within a week, including a major electric automaker. Our users complete reviews in minutes instead of days.","generative-ai, security, privacy, ai","Emily Choi-Greene, Joe Choi-Greene","https://www.linkedin.com/in/emilycgreene/, https://www.linkedin.com/in/joseph-choi-cmu",2024,2,"Seattle, WA",https://twitter.com/ItsClearlyAI
Finosu,https://www.finosu.com,"Workflow automation for the credit industry, focusing on streamlining and enhancing loan servicing processes","fintech, b2b, lending, consumer-finance","Mark Ricciardi, Gabriel Vincent Kho","https://www.linkedin.com/in/mark-ricciardi, https://www.linkedin.com/in/%F0%9F%94%B0-gabriel-kho-924a6166/",2024,2,N/A,https://www.linkedin.com/company/finosu/
Lilac Labs,https://www.drive-thru.ai/,We automate the person taking orders at drive-thrus with a voice AI.,Quick Service Restaurants (QSR),"Tony Kam, Shelden Shi","https://linkedin.com/in/tonyshekkam, https://linkedin.com/in/sheldenshi",2024,2,"San Francisco, CA, US",https://twitter.com/LilacLabs
Central,https://centralhq.com,"Central is an automated back-office designed for founders that handles all the bullshit required to run a compliant business like payroll, benefits, government filings, etc. Unlike traditional HR platforms that require expertise and make you do the work, Central acts as a proactive teammate that just takes of everything.","artificial-intelligence, fintech, b2b, hr-tech, payroll","Josh Wymer, Pranav Kashyap, Nilay Modi","https://www.linkedin.com/in/joshwymer, https://www.linkedin.com/in/pranav-kashyap, https://www.linkedin.com/in/thenilaymodi",2023,13,San Francisco,https://www.linkedin.com/company/centralinc/
Snowpilot,https://www.snowpilot.com,"Snowpilot combines a spreadsheet UI with a federated data engine, enabling PMs, marketers, and salespeople to run high-impact workflows with data at any scale.","b2b, big-data, data-engineering, ai, databases","Ben Warren, Dom Crosby","https://linkedin.com/in/ben-h-warren, https://linkedin.com/in/domcrosby/",2024,2,San Francisco,https://www.linkedin.com/company/snowpilot
SchemeFlow,https://www.schemeflow.com,Automating Government Approvals for Construction Projects,"govtech, construction, proptech","Andrew Browning, Jonny Browning, James Griffith","https://linkedin.com/in/browningandrew, https://linkedin.com/in/jonnybrowning, https://linkedin.com/in/griffithjames",2023,4,San Francisco,https://www.linkedin.com/company/schemeflow/
Capitol AI,https://www.capitol.ai/,"Capitol is a custom perplexity for every website in the world, offering an API that helps publishers generate personalized search results and content from their data.","ai-enhanced-learning, artificial-intelligence, workflow-automation, analytics, media","Shaun Modi, Thomas Hallaran","https://www.linkedin.com/in/shaunmodi/, https://www.linkedin.com/in/tomhallaran/",2021,11,"Washington, DC",https://www.linkedin.com/company/capitolai/
Ficra,https://ficra.ai/,"Ficra enables product teams to ship higher quality releases, faster. It is the source of truth for every product screen and user flow, giving companies real-time visibility into what their users actually see in their live product. Ficra's AI provides a live, visual map of users’ journeys, including every screen, flow, A/B test, push notification, and email.","artificial-intelligence, b2b, workflow-automation, productivity, design-tools","Omar El-Sadany, Mohammed Abid","https://www.linkedin.com/in/omar-el-sadany, https://www.linkedin.com/in/mohammed-abid-40777b16/",2024,2,San Francisco,https://www.linkedin.com/company/ficra-ai-yc-s24/
Lumenary,https://lumenary.com,"Lumenary is a code-generation platform and IDE that makes designing rigorous, data-intensive applications feel like whiteboarding. We provide a canvas-based UI that helps users and LLMs work off the same code and infrastructure context, while programmatically generating full-stack apps from high-level specifications.","developer-tools, automation, ai","Vivek Hazari, Daniel DiPietro, Ziray Hao, John McCambridge","https://www.linkedin.com/in/vivekhaz/, https://www.linkedin.com/in/daniel-dipietro/, https://www.linkedin.com/in/ziray-hao/, www.linkedin.com/in/johnmccambr",2024,4,San Francisco,https://twitter.com/vivekhaz
Wordware,https://wordware.ai/,"IDE to develop, iterate and deploy AI Agents","aiops, developer-tools, infrastructure, ai","Filip Kozera, Robert Chandler","https://linkedin.com/in/filipkozera, https://linkedin.com/in/robertjhchandler",2021,9,San Francisco,https://twitter.com/wordware_ai
DreamRP,https://www.dreamrp.com/,DreamRP lets users chat with character chatbots made by the content owners themselves. It is the first fully legal character chat platform that shares revenue with content owners.,"artificial-intelligence, generative-ai, consumer, entertainment, ai","Phillip Huang, Nina Hu","https://linkedin.com/in/philliphuang, https://www.linkedin.com/in/nina-hu-91a53577/",2024,2,San Francisco,https://www.dreamrp.com/
Zuni,https://zuni.app,"Zuni is an AI-native email app designed for founders to manage their personal and business email. Built to deliver Cursor-like magic for email, focusing on streamlined usability, privacy, and user control.","generative-ai, productivity, email, ai-assistant","George Seabridge, Will Taylor","https://www.linkedin.com/in/george-seabridge/, https://www.linkedin.com/in/willgeorgetaylor/",2024,2,N/A,N/A
The Forecasting Company,https://www.theforecastingcompany.com,The Forecasting Company builds planning systems based on our in-house foundation models for time series.,"artificial intelligence, b2b, supply chain, enterprise software, ai","Geoffrey Negiar, Joachim Fainberg","https://linkedin.com/in/geoffrey-negiar, https://linkedin.com/in/jfainberg",2024,2,"Paris, France",https://twitter.com/geoffnegiar
Emergent,https://emergent.sh,Autonomous coding agents for software migration and modernization.,"developer-tools, generative-ai, enterprise-software","Mukund Jha, Madhav Jha","https://www.linkedin.com/in/mukund-jha-a1596413/, https://www.linkedin.com/in/madhavjha",2024,12,San Francisco,https://twitter.com/mukundjha
&AI,https://www.tryandai.com/,"&AI is an AI-powered workspace designed for patent attorneys. Leverage agentic AI to accelerate entire prosecution & litigation workflows in one secure, collaborative workspace.","saas, b2b, legaltech","Caleb Harris, Herbert Turner","https://www.linkedin.com/in/caleb-m-harris, https://www.linkedin.com/in/herbert-turner-1b511b238",2024,9,San Francisco,https://www.linkedin.com/company/and-ai/
Henry,http://www.henry.ai,"Henry is an AI copilot for commercial real estate (CRE) brokers that seamlessly integrates a brokerage’s internal data set with external sources to generate custom presentations and financial modeling for deals. Our mission is to help CRE brokers close more deals faster, earning more while doing less repetitive work.","generative-ai, saas, real-estate, ai, ai-assistant","Sammy Greenwall, Adam Pratt","https://www.linkedin.com/in/sammy-greenwall-387b3256/,https://www.linkedin.com/in/adam-pratt-73a4aa103/",2024,3,New York,https://www.linkedin.com/company/henry-ai/?viewAsMember=true
Callback,https://getcallback.ai,"Callback is AI-native business process outsourcing. We help our customers stay focused on their core business while we use AI to automate tasks like invoice processing, PDF report parsing, and data labeling.","aiops, b2b, automation, operations","Alan Xie, Paulo Bautista","https://www.linkedin.com/in/alanrxie, https://linkedin.com/in/paulobautista",2024,2,San Francisco,https://www.linkedin.com/company/callback-ai/
Flyflow,https://flyflow.ai,Flyflow enables companies to find prospective customers using AI workflows instead of drowning in tables.,Sales Leads,Pritee Tembhekar,https://linkedin.com/in/priteet,2024,2,N/A,https://www.linkedin.com/company/flyflowai
Codes Health,https://www.getcodeshealth.com/,"Codes automates patient record collection. Today, documents are scattered across EHRs, providers, and faxes; we use AI to compile & analyze docs for those who need them.","health-tech, b2b, healthcare, legaltech, ai","Alvaro Rivera, Cody Durr, Austin Mills","https://linkedin.com/in/alvaroriv, https://www.linkedin.com/in/jij6g8asihf/, https://www.linkedin.com/in/austinhmills/",2024,3,New York,https://www.linkedin.com/company/codes-health
dmodel,https://www.dmodel.ai,"dmodel lets companies look inside the mind of an AI model and manipulate its thoughts in real-time. For example, AI-driven customer service platforms can use dmodel to rapidly fine-tune responses for accuracy and brand alignment, without retraining the entire model.","generative-ai, saas, compliance, api, ai","Daniel Moon, Anish Tondwalkar","https://www.linkedin.com/in/daniel-h-moon, https://www.linkedin.com/in/ani-sh",2024,3,San Francisco,https://www.linkedin.com/company/dmodel/
et al.,https://www.et-al.io,"et al. is a mobile app that aggregates your newsletters, research papers, articles, and more, in one place. Think of it as an LLM-powered feed delivering you useful content in short insights.","ai-enhanced-learning, consumer, productivity, ai","Marie van der Klink, Carine Fattal","https://www.linkedin.com/in/marie-van-der-klink/, https://www.linkedin.com/in/carine-fattal/",2024,2,San Francisco,https://www.linkedin.com/in/marie-van-der-klink/
Focal,https://usefocal.ai,"AI-powered compliance operations for banks and fintechs. Focal enables financial institutions to effectively leverage AI to automate traditionally manual workflows, focusing on compliance, risk, and dispute operations.","AI, Fintech, SaaS, B2B, Operations","Ray Morgan, Katia Bazzi","https://www.linkedin.com/in/raycmorgan/, https://www.linkedin.com/in/katiabazzi/",2024,2,San Francisco,https://www.linkedin.com/in/raycmorgan/
Panora,https://getpanora.com,Panora helps warehouses drive more business by connecting to any e-commerce platform and provides an AI assistant that automates data entry into WMS & ERPs platforms.,"warehouse-management-tech, logistics, api, infrastructure, ai",Rachid Flih,https://linkedin.com/in/rflih,2024,2,San Francisco,https://linkedin.com/company/panoradotdev/
Blast,https://withblast.com,Helping enterprises build safe and compliant LLM apps/agents,"b2b, enterprise-software, ai","Arnav Joshi, Daniel Zamoshchin","https://www.linkedin.com/in/arnav-joshi-516516154/, https://www.linkedin.com/in/daniel-zamoshchin/",2024,2,San Francisco,https://www.linkedin.com/company/blastcorp/
Decisional AI,https://www.decisional.com/,AI Agent for private markets that accelerates deep financial work,"artificial-intelligence, fintech, saas, finance, b2b","Dhruv Tandon, Sai Neeraj Kanuri, Adit Sanghvi","https://www.linkedin.com/in/tandondhruv/, https://www.linkedin.com/in/neerajkanuri/, https://www.linkedin.com/in/aditsanghvi/",2024,3,San Francisco,https://www.linkedin.com/company/decisional-ai/
XTraffic,https://XTraffic.com/,Technology for cities to automate and manage their traffic lights.,Smart City Technology,"Everett Ivy, Luke Adams, Brian Payne","https://linkedin.com/in/everett-ivy-b686b0248, https://linkedin.com/in/luke-adams-8528b72b1, https://linkedin.com/in/brian-payne-a1460511b",2022,5,"Dallas, TX, US / San Francisco, CA, US",https://x.com/XTrafficAI
Poka Labs,https://www.pokalabs.com/,"Poka Labs is developing an AI platform to automate operations tasks in chemical manufacturing, beginning with production scheduling. Our software seamlessly integrates with existing data sources such as data historians, emails, and PDFs to automate analytics, scheduling, changes, and communication within a single platform.","saas, supply-chain, ai, industrial","Andrew Bass, Malay Shah","https://linkedin.com/in/andrewbass, https://linkedin.com/in/yalamshah",2023,3,San Francisco,https://www.linkedin.com/company/pokalabs/
Felafax,https://felafax.ai,"Felafax is building AI infra for non-NVIDIA GPUs. With our ML experience from Google and Meta, we built a new AI stack that is 2x more cost-efficient and performant without needing Nvidia’s CUDA.","artificial-intelligence, generative-ai, infrastructure","Nithin Sonti, Nikhil Sonti","https://www.linkedin.com/in/nithinsonti, https://www.linkedin.com/in/nikhilvenkatsonti",2024,2,San Francisco,https://www.linkedin.com/company/felafax/
Anglera,https://www.anglera.com/,"AI Copilot for Merchandising, Anglera is developing a suite of AI agents to help e-commerce companies run their operations more efficiently by automating product data management.","Artificial Intelligence, Machine Learning, SaaS, B2B, E-commerce","Amay Aggarwal, Ray Iyer","https://www.linkedin.com/in/amayaggarwal/, https://www.linkedin.com/in/~iyer",2024,2,San Francisco,https://www.linkedin.com/company/anglera/
Tivara,https://tivara.com,Using LLMs to automate insurance approval for healthcare clinics,"artificial-intelligence, saas, b2b, healthcare","Tej Seelamsetty, Aumesh Misra","https://linkedin.com/in/tej-seelamsetty, www.linkedin.com/in/aumesh-misra",2024,2,"New York, NY, US",https://linkedin.com/company/tivara/
Fortress,https://fortress.build,"Fortress is a Postgres developer platform that makes it simple to globally distribute data (replication and sharding) in a cost-effective manner. Developers use Fortress to reduce network latency for their global users, comply with data sovereignty regulations, and for the peace of mind of a platform that manages horizontal scalability.","developer-tools, b2b, security, databases","David Chu, Will Hopkins","https://www.linkedin.com/in/dchu17/, https://www.linkedin.com/in/willothy/",2024,3,San Francisco,https://x.com/fortress_build
Praxos,https://www.praxos.ai,"AI workbench for insurance brokers that allows insurance professionals to automate their operations, from filling out applications to crafting proposals and comparing coverages, enabling faster deal closures and reducing operational time.","Artificial Intelligence, Generative AI, B2B, Compliance, Insurance","Lucas Urbisaia, Soheil Sadabadi","https://linkedin.com/in/lucas-urbisaia, https://linkedin.com/in/soheil-sadabadi-3bb378135",2023,3,"Miami, FL",https://www.linkedin.com/company/praxos-intelligence/
Rides,http://www.RidesApp.com,"Rides is a car community platform built for and by enthusiasts. We want to give people a purpose built way to connect with other people that share their love of cars & motorcycles and creates showcases that give every vehicle a page that let's its design, performance, modifications & story take center stage. A social network where the cars shine and the community connects exactly how we do offline and on the road... around a shared passion.",automotive,"Darius ""Bubs"" Monsef, Asa Miller","https://www.linkedin.com/in/dariusmonsef/, https://www.linkedin.com/in/asamiller/",2024,3,"Lake Oswego, OR",http://www.RidesApp.com
deepsilicon,https://www.deepsilicon.net/,Software and hardware to run neural networks faster and cheaper,"AI, Hard Tech, Edge Computing Semiconductors","Abhinav Reddy, Alexander Nanda","https://www.linkedin.com/in/abhinav-reddy-387386262/, https://www.linkedin.com/in/alexander-nanda/",2024,2,San Francisco,https://www.linkedin.com/company/deepsilicon/
Mindely,http://www.mindely.ai,"Mindely is the first AI interviewer designed for skills assessment interviews. It simulates human interaction, challenges candidates with dynamic responses, eliminates interviewer bias, and works 24/7 to create a fair, inclusive hiring process for complex roles.","Generative AI, SaaS, Recruiting, HR Tech, Talent Acquisition","Joseph Thalinjan, Alix Maurin","https://www.linkedin.com/in/joseph-thalinjan, https://www.linkedin.com/in/alix-maurin-850610148/",2024,4,San Francisco,https://www.linkedin.com/company/mindelyai/
Invaria,https://invaria.com,"The next generation logging and observability platform that automates logging from code to storage, enabling the automatic addition of actionable, structured event logs across the entire codebase.","Artificial Intelligence, Developer Tools, DevOps","Ben Hall, Sam Kramer, Alex Maass","https://www.linkedin.com/in/benjaminfhall, https://www.linkedin.com/in/sam-kramer-4263189a/, https://www.linkedin.com/in/alexmaass/",2024,3,"London, United Kingdom",https://www.linkedin.com/company/104537093
Tabular,https://www.gotabular.de/en/,"Tabular uses AI to automate the core workflows of accounting firms, starting in Europe. We generate finished ledger entries that users export with just one click. This involves tasks like booking expense accounts, determining VAT filings, reconciling transactions.",AI/Accounting,"Tim Hermes, Markus Jungnickel, Kilian Justus, Leo von Kleist","https://www.linkedin.com/in/tim-hermes/, https://linkedin.com/in/markus-jungnickel, https://linkedin.com/in/kilian-j, https://www.linkedin.com/in/leonard-von-kleist/",2024,5,Europe,https://www.linkedin.com/company/tabular-gmbh
Distro,https://distro.app,The AI co-pilot for sales reps at industrial wholesale distributors.,"artificial-intelligence, saas, b2b, manufacturing, supply-chain",Jason Sullivan,https://linkedin.com/in/jasoncsullivan,2022,7,"Palo Alto, CA, US",https://www.linkedin.com/company/distro-ai-app
Patched,https://patched.codes,"Patched empowers development teams to build and deploy AI-assisted workflows that can autonomously complete post-code tasks like documentation, code reviews, and security patching. Our workflows can be customized using a visual builder and can be self-hosted with any AI model, enabling automation without compromising security, control, or compliance.","developer-tools, b2b, open-source, ai","Rohan Sood, Asankhaya Sharma","https://linkedin.com/in/rohansood3107, https://www.linkedin.com/in/asankhaya/",2024,2,San Francisco,https://linkedin.com/in/rohansood3107
CodeViz,https://www.codeviz.ai/,"CodeViz creates interactive codebase maps to help engineers quickly understand and navigate code. Adopted by engineers at Amazon, Microsoft, and Roblox, CodeViz was founded by two ex-Tesla engineers to tackle the 75% of development time lost to reading code.","Artificial Intelligence, Developer Tools, Productivity","Liam Prevelige, Will McCall","https://www.linkedin.com/in/liam-prevelige/,https://www.linkedin.com/in/williamlmccall/",2024,2,San Francisco,https://x.com/codeviz_ai
Guardian RF,https://guardianrf.com/,"GuardianRF develops advanced RF spectrum sensors to protect against evolving threats posed by weaponized drones in defense and national security contexts. Our technology includes products such as the Scout Detector and Mosaic Sensor Network, designed for effective drone detection and tracking.","hard-tech, drones, security","Lucas Raskin, John Andrzejewski, Eli Kerstein","https://www.linkedin.com/in/lucas-r-422937242/, https://www.linkedin.com/in/john-andrzejewski/, https://www.linkedin.com/in/eli-kerstein-64a98919a/",2024,3,"Washington, DC",https://www.linkedin.com/company/guardian-rf
Pipeshift,https://pipeshift.com,"Pipeshift is a modular orchestration platform for building with open-source AI components — embeddings, vector databases, LLMs, vision models and audio models — across any cloud or on-prem. Enterprises get to deploy their AI workloads in production faster and more reliably.","AI, AIops, Artificial Intelligence, Generative AI, Infrastructure","Arko C, Enrique Ferrao, Pranav Reddy","https://linkedin.com/in/arkoc, https://linkedin.com/in/enrique-ferrao, https://linkedin.com/in/pranavreddyg",2024,10,San Francisco,https://x.com/pipeshiftai
Lighthouz AI,https://lighthouz.ai/,AI procurement specialists for manufacturers,"AI, Procurement, SaaS","Srijan Kumar, Sonali Pattnaik","https://www.linkedin.com/in/srijankr/, https://www.linkedin.com/in/sonali-pattnaik/",2023,3,San Francisco,https://www.linkedin.com/company/lighthouz-ai/
expand.ai,https://expand.ai/,"expand.ai instantly turns any website into a type-safe API you can rely on. You can either request data from any website instantly or let expand.ai build up datasets for you. We take care of the hard parts like dealing with bot protection, scaling browser infrastructure and making sure that we only extract verified, correct information.","developer-tools, infrastructure",Tim Suchanek,https://linkedin.com/in/tim-suchanek-08219346,2024,2,San Francisco,https://www.linkedin.com/company/use-expand-ai/
Phonely,https://phonely.ai,Phonely uses existing call recordings to create a 'AI vocal twin' that can answer customer support calls and match or outperform call center agents. On top of that we've built a Zapier like workflow that lets businesses connect to software or transfer calls just like a person would. Our platform sits on proprietary deterministic LLM that is both cheaper and more accurate than gpt-4o for call center inquiries.,AI Call Centers,"Will Bodewes, Nisal Ranasinghe","https://www.linkedin.com/in/william-bodewes/, https://www.linkedin.com/in/nisalr",2023,4,"San Francisco, CA, US",https://www.linkedin.com/company/phonely-ai/
Ligo Biosciences,https://www.ligo.bio,AI designed enzymes for the chemical industry. We are building the next generation of deep-learning models for enzyme design to slash the cost of chemical manufacturing.,"deep-learning, synthetic-biology, biotech, climate, ai","Edward Harris, Emily Egerton-Warburton, Arda Goreci","https://linkedin.com/in/edward-harris-537837188, https://www.linkedin.com/in/emily-egerton-warburton-a70121211, https://linkedin.com/in/arda-g-a26506118",2024,4,San Francisco,https://twitter.com/ArdaGoreci
Modus,https://himodus.com,"Modus helps companies hire and retain only the people they need instead of becoming bloated messes. Modus connects your HRIS, ATS, and analyzes extensive data across your organization so leaders can detect, inspect, and correct their workforce plans - without relying on spreadsheets or complex systems.","artificial-intelligence, finance, b2b, hr-tech, operations","Lin Ling, Amar, Chris",https://www.linkedin.com/in/linling1/,2024,3,N/A,https://twitter.com/linnyisms
